date,icao,weather_delay
2015-07-18 23:30:00+00:00,KBNA,58.0
2015-07-19 21:20:00+00:00,KBNA,52.0
2015-07-25 13:00:00+00:00,KBNA,64.0
2015-07-25 22:50:00+00:00,KBNA,45.0
2015-07-28 21:11:00+00:00,KBNA,52.0
2015-07-28 21:15:00+00:00,KBNA,67.0
2015-07-28 21:20:00+00:00,KBNA,81.0
2015-07-28 21:20:00+00:00,KBNA,198.0
2015-07-28 21:35:00+00:00,KBNA,128.0
2015-07-28 21:40:00+00:00,KBNA,132.0
2015-07-28 22:00:00+00:00,KBNA,83.0
2015-07-28 22:05:00+00:00,KBNA,17.0
2015-07-28 22:12:00+00:00,KBNA,71.0
2015-07-28 22:35:00+00:00,KBNA,8.0
2015-07-28 22:40:00+00:00,KBNA,14.0
2015-07-28 22:50:00+00:00,KBNA,8.0
2015-07-28 23:05:00+00:00,KBNA,12.0
2015-07-29 00:12:00+00:00,KBNA,4.0
2015-07-29 00:21:00+00:00,KBNA,10.0
2015-07-30 18:30:00+00:00,KBNA,68.0
2015-08-01 13:00:00+00:00,KBNA,58.0
2015-08-01 15:30:00+00:00,KBNA,27.0
2015-08-03 12:55:00+00:00,KBNA,92.0
2015-08-03 14:40:00+00:00,KBNA,34.0
2015-08-03 16:25:00+00:00,KBNA,41.0
2015-08-05 19:00:00+00:00,KBNA,13.0
2015-08-07 00:21:00+00:00,KBNA,5.0
2015-08-07 19:00:00+00:00,KBNA,9.0
2015-08-11 20:15:00+00:00,KBNA,86.0
2015-08-11 23:45:00+00:00,KBNA,16.0
2015-08-13 18:40:00+00:00,KBNA,21.0
2015-08-14 19:40:00+00:00,KBNA,32.0
2015-08-14 20:15:00+00:00,KBNA,27.0
2015-08-14 20:30:00+00:00,KBNA,11.0
2015-08-14 20:35:00+00:00,KBNA,19.0
2015-08-14 21:00:00+00:00,KBNA,29.0
2015-08-17 19:15:00+00:00,KBNA,32.0
2015-08-17 20:10:00+00:00,KBNA,175.0
2015-08-19 14:32:00+00:00,KBNA,28.0
2015-08-19 19:15:00+00:00,KBNA,3.0
2015-08-19 19:55:00+00:00,KBNA,38.0
2015-08-19 20:15:00+00:00,KBNA,23.0
2015-08-19 22:40:00+00:00,KBNA,9.0
2015-08-19 23:21:00+00:00,KBNA,4.0
2015-08-19 23:25:00+00:00,KBNA,11.0
2015-08-19 23:45:00+00:00,KBNA,15.0
2015-08-20 20:55:00+00:00,KBNA,6.0
2015-08-20 22:45:00+00:00,KBNA,77.0
2015-08-20 23:25:00+00:00,KBNA,22.0
2015-08-28 01:59:00+00:00,KBNA,4.0
2015-09-04 21:55:00+00:00,KBNA,83.0
2015-09-08 19:15:00+00:00,KBNA,125.0
2015-09-09 21:35:00+00:00,KBNA,16.0
2015-09-10 19:29:00+00:00,KBNA,32.0
2015-09-11 17:25:00+00:00,KBNA,40.0
2015-09-11 18:15:00+00:00,KBNA,3.0
2015-09-11 18:30:00+00:00,KBNA,28.0
2015-09-11 18:30:00+00:00,KBNA,42.0
2015-09-11 18:50:00+00:00,KBNA,24.0
2015-09-11 19:00:00+00:00,KBNA,29.0
2015-09-11 19:15:00+00:00,KBNA,26.0
2015-09-11 19:22:00+00:00,KBNA,18.0
2015-09-11 19:29:00+00:00,KBNA,1.0
2015-09-11 19:35:00+00:00,KBNA,56.0
2015-09-11 20:35:00+00:00,KBNA,7.0
2015-09-11 20:43:00+00:00,KBNA,27.0
2015-09-12 00:10:00+00:00,KBNA,5.0
2015-09-12 13:30:00+00:00,KBNA,15.0
2015-09-12 19:35:00+00:00,KBNA,31.0
2015-09-18 11:05:00+00:00,KBNA,27.0
2015-09-18 12:30:00+00:00,KBNA,24.0
2015-09-18 19:29:00+00:00,KBNA,5.0
2015-09-18 20:43:00+00:00,KBNA,7.0
2015-09-18 23:50:00+00:00,KBNA,15.0
2015-09-22 15:20:00+00:00,KBNA,3.0
2015-09-29 15:30:00+00:00,KBNA,3.0
2015-10-01 20:10:00+00:00,KBNA,2.0
2015-10-02 12:45:00+00:00,KBNA,15.0
2015-10-02 16:30:00+00:00,KBNA,61.0
2015-10-02 23:00:00+00:00,KBNA,2.0
2015-10-05 18:50:00+00:00,KBNA,47.0
2015-10-09 19:21:00+00:00,KBNA,20.0
2015-10-09 19:29:00+00:00,KBNA,32.0
2015-10-09 20:10:00+00:00,KBNA,39.0
2015-10-09 20:45:00+00:00,KBNA,13.0
2015-10-12 23:00:00+00:00,KBNA,4.0
2015-10-13 00:15:00+00:00,KBNA,25.0
2015-10-13 00:32:00+00:00,KBNA,76.0
2015-10-13 00:45:00+00:00,KBNA,68.0
2015-10-13 01:25:00+00:00,KBNA,19.0
2015-10-13 01:35:00+00:00,KBNA,18.0
2015-10-13 01:55:00+00:00,KBNA,12.0
2015-10-23 17:47:00+00:00,KBNA,9.0
2015-10-23 19:21:00+00:00,KBNA,7.0
2015-10-23 20:10:00+00:00,KBNA,29.0
2015-10-27 23:00:00+00:00,KBNA,1.0
2015-10-28 15:35:00+00:00,KBNA,55.0
2015-10-28 23:25:00+00:00,KBNA,100.0
2015-10-30 19:21:00+00:00,KBNA,55.0
2015-10-31 00:12:00+00:00,KBNA,138.0
2015-10-31 01:50:00+00:00,KBNA,84.0
2015-10-31 12:37:00+00:00,KBNA,43.0
2015-11-05 02:55:00+00:00,KBNA,4.0
2015-11-05 16:05:00+00:00,KBNA,29.0
2015-11-06 02:30:00+00:00,KBNA,37.0
2015-11-06 13:45:00+00:00,KBNA,84.0
2015-11-11 12:58:00+00:00,KBNA,22.0
2015-11-11 21:58:00+00:00,KBNA,6.0
2015-11-12 04:15:00+00:00,KBNA,27.0
2015-11-13 12:30:00+00:00,KBNA,19.0
2015-11-13 22:23:00+00:00,KBNA,18.0
