date,icao,weather_delay,wind_speed,wind_gust,ceiling,visibility,temp,dew_pnt,pressure
2015-06-19 22:40:00+00:00,KBNA,131.0,5,46,1829,16093,233,211,10124
2015-06-20 17:49:00+00:00,KBNA,11.0,5,31,1006,16093,272,217,10153
2015-06-21 22:35:00+00:00,KBNA,2.0,5,26,22000,16093,322,233,10158
2015-06-23 18:00:00+00:00,KBNA,41.0,5,31,22000,16093,322,239,10180
2015-06-23 19:50:00+00:00,KBNA,47.0,5,36,22000,16093,328,244,10175
2015-06-23 21:35:00+00:00,KBNA,117.0,5,21,1463,16093,328,250,10159
2015-06-23 22:10:00+00:00,KBNA,157.0,5,21,1463,16093,328,250,10159
2015-06-24 00:20:00+00:00,KBNA,117.0,5,36,1463,16093,322,250,10161
2015-06-24 01:00:00+00:00,KBNA,26.0,5,36,1463,16093,322,250,10161
2015-06-24 01:00:00+00:00,KBNA,27.0,5,36,1463,16093,322,250,10161
2015-06-24 01:00:00+00:00,KBNA,38.0,5,36,1463,16093,322,250,10161
2015-06-24 01:05:00+00:00,KBNA,21.0,5,36,1463,16093,322,250,10161
2015-06-24 01:30:00+00:00,KBNA,6.0,5,36,1463,16093,322,250,10161
2015-06-24 21:06:00+00:00,KBNA,134.0,5,15,22000,16093,300,239,10204
2015-06-24 23:41:00+00:00,KBNA,667.0,5,15,22000,16093,300,239,10204
2015-06-26 01:50:00+00:00,KBNA,28.0,5,21,22000,16093,306,233,10143
2015-06-27 13:00:00+00:00,KBNA,26.0,5,21,427,16093,222,217,10115
2015-06-27 22:31:00+00:00,KBNA,48.0,5,72,22000,16093,261,150,10125
2015-06-28 21:35:00+00:00,KBNA,105.0,5,26,22000,16093,278,122,10143
2015-06-29 00:12:00+00:00,KBNA,8.0,5,21,22000,16093,267,139,10138
2015-06-30 00:11:00+00:00,KBNA,20.0,5,31,7620,16093,289,211,10105
2015-06-30 01:59:00+00:00,KBNA,50.0,5,36,22000,14484,222,217,10127
